#field_ID pointing_ID N_LRG N_QSO_I N_QSO_II ELG N_TOTAL
0 0 1971 660 550 1800 4981
1 0 2005 442 562 1958 4967
2 0 1940 555 541 1929 4965
3 0 1924 409 573 2057 4963
4 0 1627 417 542 2321 4907
5 0 1227 323 572 2691 4813
6 0 1069 247 576 2859 4751
7 0 1370 330 549 2469 4718
8 0 935 234 476 2742 4387
9 0 1146 328 558 2635 4667
10 0 1322 337 566 2515 4740
11 0 1343 374 533 2519 4769
12 0 972 236 524 2732 4464
13 0 901 237 462 2742 4342
14 0 1318 316 560 2479 4673
15 0 894 236 480 2775 4385
16 0 1096 328 514 2641 4579
17 0 1287 322 540 2540 4689
18 0 1316 358 565 2532 4771
19 0 976 266 513 2692 4447
20 0 880 224 454 2772 4330
0 1 680 176 432 2823 4111
1 1 355 85 346 2510 3296
2 1 514 107 333 2807 3761
3 1 779 161 460 2636 4036
4 1 404 91 333 2446 3274
5 1 62 12 66 1488 1628
6 1 68 15 81 1388 1552
7 1 138 27 178 1877 2220
8 1 30 2 34 786 852
9 1 125 21 143 1433 1722
10 1 460 83 274 2005 2822
11 1 390 75 262 1975 2702
12 1 35 7 47 901 990
13 1 35 11 64 1005 1115
14 1 211 61 280 1979 2531
15 1 92 19 102 1215 1428
16 1 194 50 192 1699 2135
17 1 607 112 345 2064 3128
18 1 837 117 349 2138 3441
19 1 353 69 234 1627 2283
20 1 359 61 197 1800 2417
0 2 183 57 249 1895 2384
1 2 118 36 98 1154 1406
2 2 149 55 179 1493 1876
3 2 305 91 246 1991 2633
4 2 156 44 102 1295 1597
5 2 5 1 1 116 123
6 2 4 0 4 155 163
7 2 22 3 15 438 478
8 2 0 0 0 29 29
9 2 24 2 36 277 339
10 2 159 40 155 1183 1537
11 2 147 28 93 922 1190
12 2 3 0 3 42 48
13 2 0 1 1 70 72
14 2 39 11 80 773 903
15 2 11 3 16 263 293
16 2 40 12 60 776 888
17 2 272 106 182 1430 1990
18 2 309 122 249 1633 2313
19 2 129 36 144 1030 1339
20 2 110 41 78 1010 1239
0 3 90 15 80 1081 1266
1 3 41 4 51 545 641
2 3 62 9 59 803 933
3 3 143 32 188 1347 1710
4 3 62 12 78 640 792
5 3 0 0 0 11 11
6 3 0 0 1 13 14
7 3 0 1 0 75 76
8 3 0 0 0 2 2
9 3 8 1 1 113 123
10 3 86 23 92 785 986
11 3 61 13 66 435 575
12 3 0 0 0 8 8
13 3 2 1 0 1 4
14 3 16 0 15 276 307
15 3 0 0 2 26 28
16 3 8 2 9 204 223
17 3 148 48 157 1089 1442
18 3 177 41 214 1354 1786
19 3 68 14 70 599 751
20 3 55 9 63 600 727
0 4 42 8 63 569 682
1 4 20 6 49 335 410
2 4 23 2 44 420 489
3 4 74 15 175 924 1188
4 4 22 10 62 380 474
5 4 0 0 0 0 0
6 4 0 0 0 1 1
7 4 0 0 0 6 6
8 4 0 0 0 0 0
9 4 7 1 2 42 52
10 4 38 10 75 538 661
11 4 33 7 61 341 442
12 4 0 0 0 0 0
13 4 0 0 0 0 0
14 4 0 1 8 77 86
15 4 2 0 3 9 14
16 4 1 0 5 85 91
17 4 82 34 155 899 1170
18 4 81 25 205 1156 1467
19 4 26 3 46 321 396
20 4 31 8 53 402 494
0 5 36 8 16 403 463
1 5 22 2 13 215 252
2 5 18 2 14 283 317
3 5 60 12 43 757 872
4 5 28 12 22 327 389
5 5 0 0 0 0 0
6 5 0 0 0 1 1
7 5 0 0 0 3 3
8 5 0 0 0 0 0
9 5 3 0 0 16 19
10 5 34 10 9 412 465
11 5 21 3 10 297 331
12 5 0 0 0 0 0
13 5 0 0 0 0 0
14 5 1 0 3 33 37
15 5 0 0 0 1 1
16 5 2 0 1 17 20
17 5 57 14 35 729 835
18 5 79 10 59 1017 1165
19 5 25 6 10 225 266
20 5 17 3 9 293 322
