# Echo 22 focal plane parameters from Figure 7 of DESI-0329v3.
# The plate scale varies with radius, and is different in the
# meridional (radial) direction vs. the
# sagittal (tangential/azimuthal) direction.  The table below
# contains the F/#, Focal Length, and Plate Scale vs. radius for
# both the meridional and sagittal orientations at that radius.

# Columns:
# - Radius : radius from center of focal plane [mm]
# - MF/# : Meridional F/#
# - SF/# : Sagittal F/#
# - MFL  : Meridional focal length [m]
# - SFL  : Sagittal focal length [m]
# - MPS  : Meridional plate scale [um/arcsec]
# - SPS  : Sagittal plate scale [um/arcsec]

# Radius    MF/#      SF/#     MFL       SFL        MPS       SPS
  0.0000    3.7451    3.7451  14.2202   14.2202    68.9414   68.9414
  3.8879    3.7452    3.7451   14.2204   14.2202   68.9423   68.9417
  7.7759    3.7453    3.7452   14.2209   14.2204   68.9449   68.9425
 11.6641    3.7455    3.7453   14.2218   14.2207   68.9492   68.9440
 15.5525    3.7459    3.7454   14.2231   14.2211   68.9553   68.9460
 19.4414    3.7463    3.7455   14.2247   14.2217   68.9631   68.9485
 23.3308    3.7468    3.7457   14.2266   14.2223   68.9727   68.9517
 27.2209    3.7474    3.7459   14.2290   14.2231   68.9840   68.9554
 31.1116    3.7481    3.7461   14.2317   14.2239   68.9971   68.9596
 35.0031    3.7489    3.7464   14.2347   14.2249   69.0119   68.9645
 38.8955    3.7498    3.7467   14.2381   14.2261   69.0284   68.9699
 42.7890    3.7508    3.7470   14.2419   14.2273   69.0467   68.9759
 46.6836    3.7519    3.7473   14.2460   14.2286   69.0667   68.9824
 50.5794    3.7531    3.7477   14.2505   14.2301   69.0885   68.9895
 54.4764    3.7544    3.7481   14.2554   14.2317   69.1120   68.9972
 58.3750    3.7558    3.7486   14.2606   14.2334   69.1373   69.0055
 62.2750    3.7572    3.7491   14.2662   14.2352   69.1643   69.0143
 66.1766    3.7588    3.7496   14.2721   14.2372   69.1931   69.0237
 70.0800    3.7604    3.7501   14.2784   14.2392   69.2237   69.0337
 73.9852    3.7622    3.7507   14.2851   14.2414   69.2560   69.0443
 77.8923    3.7641    3.7513   14.2921   14.2437   69.2901   69.0554
 81.8014    3.7660    3.7519   14.2995   14.2461   69.3259   69.0671
 85.7127    3.7680    3.7526   14.3073   14.2486   69.3636   69.0793
 89.6261    3.7702    3.7533   14.3154   14.2513   69.4030   69.0922
 93.5419    3.7724    3.7540   14.3239   14.2540   69.4441   69.1056
 97.4601    3.7748    3.7548   14.3327   14.2569   69.4871   69.1196
101.3809    3.7772    3.7556   14.3420   14.2599   69.5318   69.1341
105.3042    3.7797    3.7564   14.3516   14.2631   69.5784   69.1492
109.2303    3.7823    3.7573   14.3615   14.2663   69.6267   69.1649
113.1592    3.7851    3.7581   14.3719   14.2696   69.6768   69.1812
117.0910    3.7879    3.7591   14.3826   14.2731   69.7287   69.1981
121.0259    3.7908    3.7600   14.3937   14.2767   69.7824   69.2155
124.9639    3.7938    3.7610   14.4051   14.2804   69.8379   69.2335
128.9051    3.7969    3.7620   14.4169   14.2843   69.8953   69.2520
132.8496    3.8001    3.7630   14.4291   14.2882   69.9544   69.2712
136.7976    3.8035    3.7641   14.4417   14.2923   70.0154   69.2909
140.7491    3.8069    3.7652   14.4547   14.2965   70.0781   69.3112
144.7042    3.8104    3.7663   14.4680   14.3008   70.1428   69.3321
148.6631    3.8140    3.7675   14.4817   14.3052   70.2092   69.3536
152.6258    3.8177    3.7687   14.4958   14.3097   70.2775   69.3756
156.5924    3.8215    3.7699   14.5102   14.3144   70.3476   69.3982
160.5631    3.8254    3.7712   14.5251   14.3192   70.4196   69.4214
164.5379    3.8294    3.7725   14.5403   14.3241   70.4934   69.4452
168.5170    3.8335    3.7738   14.5559   14.3291   70.5691   69.4696
172.5004    3.8377    3.7752   14.5719   14.3343   70.6467   69.4945
176.4883    3.8421    3.7765   14.5883   14.3395   70.7261   69.5201
180.4807    3.8465    3.7780   14.6051   14.3449   70.8074   69.5462
184.4778    3.8510    3.7794   14.6222   14.3504   70.8906   69.5729
188.4797    3.8556    3.7809   14.6398   14.3561   70.9756   69.6002
192.4864    3.8603    3.7824   14.6577   14.3618   71.0626   69.6280
196.4981    3.8652    3.7840   14.6760   14.3677   71.1514   69.6565
200.5149    3.8701    3.7855   14.6947   14.3737   71.2421   69.6856
204.5369    3.8751    3.7871   14.7139   14.3798   71.3348   69.7152
208.5642    3.8803    3.7888   14.7334   14.3860   71.4294   69.7454
212.5970    3.8855    3.7905   14.7533   14.3924   71.5258   69.7763
216.6352    3.8909    3.7922   14.7736   14.3989   71.6243   69.8077
220.6790    3.8963    3.7939   14.7943   14.4055   71.7246   69.8397
224.7286    3.9019    3.7957   14.8154   14.4122   71.8269   69.8723
228.7841    3.9075    3.7975   14.8369   14.4190   71.9311   69.9055
232.8455    3.9133    3.7993   14.8588   14.4260   72.0373   69.9393
236.9129    3.9192    3.8012   14.8811   14.4331   72.1455   69.9737
240.9866    3.9251    3.8031   14.9038   14.4403   72.2556   70.0087
245.0665    3.9312    3.8050   14.9269   14.4477   72.3677   70.0443
249.1529    3.9374    3.8070   14.9504   14.4551   72.4818   70.0805
253.2458    3.9437    3.8090   14.9744   14.4627   72.5979   70.1173
257.3453    3.9502    3.8110   14.9987   14.4705   72.7160   70.1547
261.4515    3.9567    3.8131   15.0235   14.4783   72.8361   70.1927
265.5647    3.9633    3.8152   15.0487   14.4863   72.9582   70.2314
269.6848    3.9701    3.8173   15.0743   14.4944   73.0824   70.2706
273.8120    3.9769    3.8195   15.1004   14.5026   73.2086   70.3104
277.9464    3.9839    3.8217   15.1268   14.5109   73.3369   70.3509
282.0882    3.9910    3.8239   15.1537   14.5194   73.4672   70.3919
286.2373    3.9982    3.8262   15.1810   14.5280   73.5996   70.4336
290.3941    4.0055    3.8285   15.2088   14.5367   73.7341   70.4759
294.5585    4.0129    3.8308   15.2369   14.5455   73.8707   70.5188
298.7308    4.0204    3.8332   15.2656   14.5545   74.0095   70.5623
302.9109    4.0281    3.8356   15.2946   14.5636   74.1503   70.6064
307.0991    4.0358    3.8380   15.3241   14.5729   74.2934   70.6512
311.2954    4.0437    3.8405   15.3541   14.5822   74.4386   70.6966
315.5000    4.0517    3.8430   15.3844   14.5917   74.5859   70.7426
319.7129    4.0599    3.8455   15.4153   14.6013   74.7355   70.7892
323.9344    4.0681    3.8481   15.4466   14.6111   74.8872   70.8365
328.1644    4.0765    3.8507   15.4784   14.6209   75.0412   70.8843
332.4032    4.0850    3.8533   15.5106   14.6309   75.1974   70.9328
336.6508    4.0936    3.8560   15.5433   14.6411   75.3559   70.9820
340.9073    4.1023    3.8587   15.5764   14.6514   75.5167   71.0318
345.1729    4.1112    3.8614   15.6101   14.6617   75.6797   71.0822
349.4476    4.1201    3.8642   15.6442   14.6723   75.8451   71.1332
353.7316    4.1292    3.8670   15.6787   14.6829   76.0127   71.1849
358.0250    4.1385    3.8698   15.7138   14.6937   76.1827   71.2372
362.3279    4.1478    3.8727   15.7493   14.7047   76.3550   71.2902
366.6403    4.1573    3.8756   15.7854   14.7157   76.5296   71.3438
370.9624    4.1669    3.8786   15.8219   14.7269   76.7065   71.3981
375.2942    4.1767    3.8815   15.8588   14.7382   76.8858   71.4530
379.6360    4.1865    3.8846   15.8963   14.7497   77.0674   71.5086
383.9877    4.1965    3.8876   15.9342   14.7613   77.2512   71.5649
388.3494    4.2066    3.8907   15.9726   14.7731   77.4374   71.6218
392.7213    4.2169    3.8938   16.0115   14.7849   77.6258   71.6794
397.1034    4.2272    3.8970   16.0508   14.7970   77.8163   71.7377
401.4958    4.2377    3.9002   16.0905   14.8091   78.0090   71.7966
